Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
266,266,0,707c70,60,18,127
267,267,0,707c70,120,18,127
268,268,0,707c70,120,18,127
269,269,0,787c70,120,18,127
270,270,0,787c70,120,18,127
271,271,0,787c70,120,18,127
272,272,0,707c68,60,18,127
273,273,0,707c68,60,18,127
274,274,0,707c68,60,36,127
275,275,0,707c70,90,36,127
276,276,0,787c70,90,36,127
277,277,0,787c70,90,18,127
278,278,0,787c70,120,18,127
279,279,0,787c70,60,18,127
280,280,0,787c70,60,18,127
281,281,0,787c78,60,18,127
282,282,0,707c78,60,18,127
283,283,0,707c78,60,0,127
284,284,0,787c78,0,18,127
285,285,0,787c78,180,18,127
286,286,0,787c70,180,0,127
287,287,0,787c70,0,0,127
288,288,0,807c70,0,18,127
289,289,0,807c70,60,18,127
290,290,0,807878,60,20,127
291,291,0,807878,54,20,128
292,292,0,787878,54,12,128
293,293,0,807878,310,12,128
294,294,0,807c78,310,10,128
295,295,0,807c78,300,12,127
296,296,0,807c78,310,2,128
297,297,0,807c78,360,2,128
298,298,0,787c78,360,2,128
299,299,0,787c78,360,2,128
300,300,0,787c78,360,0,128
301,301,0,787c70,0,0,127
302,302,0,787870,0,0,127
303,303,0,787870,0,18,127
304,304,0,787870,60,18,127
305,305,0,787868,26,18,127
306,306,0,707c68,26,18,127
307,307,0,687460,26,36,127
308,308,0,606c58,43,36,127
309,309,0,606850,90,37,127
310,310,0,606858,89,46,117
311,311,0,586050,93,57,111
312,312,0,505848,75,36,106
313,313,0,485040,84,37,106
314,314,0,403840,82,48,96
315,315,0,403438,89,51,90
316,316,0,302830,87,24,80
317,317,0,403840,300,44,64
318,318,0,586058,306,56,64
319,319,0,788478,300,24,54
320,320,0,707868,300,13,64
321,321,0,707460,120,11,96
322,322,0,707460,120,27,133
323,323,0,707460,79,39,122
324,324,0,707460,56,39,118
325,325,0,707460,56,39,118
326,326,0,707060,56,39,118
327,327,0,686c58,56,39,118
328,328,0,686c60,56,39,118
329,329,0,606458,40,46,118
330,330,0,605858,66,25,111
331,331,0,585050,71,25,111
332,332,0,504c48,66,25,101
333,333,0,504c48,354,30,100
334,334,0,484c48,350,28,91
335,335,0,484c48,40,28,82
336,336,0,485048,40,19,82
337,337,0,485048,120,19,79
338,338,0,484048,120,22,79
339,339,0,403840,120,22,80
340,340,0,403838,120,31,80
341,341,0,383030,300,24,73
342,342,0,382c30,300,24,64
343,343,0,382c30,310,60,64
344,344,0,303030,336,65,63
345,345,0,302c28,334,65,63
346,346,0,302c28,334,28,63
347,347,0,282c28,300,42,54
348,348,0,282c30,13,42,54
349,349,0,282c30,13,10,54
350,350,0,282c28,120,42,47
351,351,0,303430,227,42,54
352,352,0,383830,227,10,54
353,353,0,403c30,120,4,47
354,354,0,384030,300,36,54
355,355,0,384030,26,40,63
356,356,0,404030,54,40,64
357,357,0,404030,66,40,64
358,358,0,404038,66,40,64
359,359,0,404038,60,40,64
360,360,0,404038,60,4,64
361,361,0,404038,60,4,64
