Sample in Buffer,Sample in Window,TRIGGER,MONITOR_INST/TS_S[3:0],MONITOR_INST/X[13:0],MONITOR_INST/ds,MONITOR_INST/sw,MONITOR_INST/speed_set[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
359,359,0,5,032e,0,0,c424
360,360,0,5,032e,0,0,c424
361,361,0,5,032e,0,0,c424
362,362,0,5,032e,0,0,c424
363,363,0,5,032e,0,0,c424
364,364,0,5,032e,0,0,c424
365,365,0,5,032e,0,0,c424
366,366,0,5,032e,0,0,c424
367,367,0,5,032e,0,0,c424
368,368,0,5,032e,0,0,c424
369,369,0,5,032e,0,0,c424
370,370,0,5,032e,0,0,c424
371,371,0,5,032e,0,0,c424
372,372,0,5,032e,0,0,c424
373,373,0,5,032e,0,0,c424
374,374,0,5,032e,0,0,c424
375,375,0,5,032e,0,0,c424
376,376,0,5,032e,0,0,c424
377,377,0,5,032e,0,0,c424
378,378,0,5,032e,0,0,c424
379,379,0,5,032e,0,0,c424
380,380,0,5,032e,0,0,c424
381,381,0,5,032e,0,0,c424
382,382,0,5,032e,0,0,c424
383,383,0,5,032e,0,0,c424
384,384,0,5,032e,0,0,c424
385,385,0,5,032e,0,0,c424
386,386,0,5,032e,0,0,c424
387,387,0,5,032e,0,0,c424
388,388,0,5,032e,0,0,c424
389,389,0,5,032e,0,0,c424
390,390,0,5,032e,0,0,c424
391,391,0,5,032e,0,0,c424
392,392,0,5,032e,0,0,c424
393,393,0,5,032e,0,0,c424
394,394,0,5,032e,0,0,c424
395,395,0,5,032e,0,0,c424
396,396,0,5,032e,0,0,c424
397,397,0,5,032e,0,0,c424
398,398,0,5,032e,0,0,c424
399,399,0,5,032e,0,0,c424
400,400,0,5,032e,0,0,c424
401,401,0,5,032e,0,0,c424
402,402,0,5,032e,0,0,c424
403,403,0,5,032e,0,0,c424
404,404,0,5,032e,0,0,c424
405,405,0,5,032e,0,0,c424
406,406,0,5,032e,0,0,c424
407,407,0,5,032e,0,0,c424
408,408,0,5,032e,0,0,c424
409,409,0,5,032e,0,0,c424
410,410,0,5,032e,0,0,c424
411,411,0,5,032e,0,0,c424
412,412,0,5,032e,0,0,c424
413,413,0,5,032e,0,0,c424
414,414,0,5,032e,0,0,c424
415,415,0,5,032e,0,0,c424
416,416,0,5,032e,0,0,c424
417,417,0,5,032e,0,0,c424
418,418,0,5,032e,0,0,c424
419,419,0,5,032e,0,0,c424
420,420,0,5,032e,0,0,c424
421,421,0,5,032e,0,0,c424
422,422,0,5,032e,0,0,c424
423,423,0,5,032e,0,0,c424
424,424,0,5,032e,0,0,c424
425,425,0,5,032e,0,0,c424
426,426,0,5,032e,0,0,c424
427,427,0,5,032e,0,0,c424
428,428,0,5,032e,0,0,c424
429,429,0,5,032e,0,0,c424
430,430,0,5,032e,0,0,c424
431,431,0,5,032e,0,0,c424
432,432,0,5,032e,0,0,c424
433,433,0,5,032e,0,0,c424
434,434,0,5,032e,0,0,c424
435,435,0,5,032e,0,0,c424
436,436,0,5,032e,0,0,c424
437,437,0,5,032e,0,0,c424
438,438,0,5,032e,0,0,c424
439,439,0,5,032e,0,0,c424
440,440,0,5,032e,0,0,c424
441,441,0,5,032e,0,0,c424
442,442,0,5,032e,0,0,c424
443,443,0,5,032e,0,0,c424
444,444,0,5,032e,0,0,c424
445,445,0,5,032e,0,0,c424
446,446,0,5,032e,0,0,c424
447,447,0,5,032e,0,0,c424
448,448,0,5,032e,0,0,c424
449,449,0,5,032e,0,0,c424
450,450,0,5,032e,0,0,c424
451,451,0,5,032e,0,0,c424
452,452,0,5,032e,0,0,c424
453,453,0,5,032e,0,0,c424
454,454,0,5,032e,0,0,c424
455,455,0,5,032e,0,0,c424
456,456,0,5,032e,0,0,c424
457,457,0,5,032e,0,0,c424
458,458,0,5,032e,0,0,c424
459,459,0,5,032e,0,0,c424
460,460,0,5,032e,0,0,c424
461,461,0,5,032e,0,0,c424
462,462,0,5,032e,0,0,c424
463,463,0,5,032e,0,0,c424
464,464,0,5,032e,0,0,c424
465,465,0,5,032e,0,0,c424
466,466,0,5,032e,0,0,c424
467,467,0,5,032e,0,0,c424
468,468,0,5,032e,0,0,c424
469,469,0,5,032e,0,0,c424
470,470,0,5,032e,0,0,c424
471,471,0,5,032e,0,0,c424
472,472,0,5,032e,0,0,c424
473,473,0,5,032e,0,0,c424
474,474,0,5,032e,0,0,c424
475,475,0,5,032e,0,0,c424
476,476,0,5,032e,0,0,c424
477,477,0,5,032e,0,0,c424
478,478,0,5,032e,0,0,c424
479,479,0,5,032e,0,0,c424
480,480,0,5,032e,0,0,c424
481,481,0,5,032e,0,0,c424
482,482,0,5,032e,0,0,c424
483,483,0,5,032e,0,0,c424
484,484,0,5,032e,0,0,c424
485,485,0,5,032e,0,0,c424
486,486,0,5,032e,0,0,c424
487,487,0,5,032e,0,0,c424
488,488,0,5,032e,0,0,c424
489,489,0,5,032e,0,0,c424
490,490,0,5,032e,0,0,c424
491,491,0,5,032e,0,0,c424
492,492,0,5,032e,0,0,c424
493,493,0,5,032e,0,0,c424
494,494,0,5,032e,0,0,c424
495,495,0,5,032e,0,0,c424
496,496,0,5,032e,0,0,c424
497,497,0,5,032e,0,0,c424
498,498,0,5,032e,0,0,c424
499,499,0,5,032e,0,0,c424
500,500,0,5,032e,0,0,c424
501,501,0,5,032e,0,0,c424
502,502,0,5,032e,0,0,c424
503,503,0,5,032e,0,0,c424
504,504,0,5,032e,0,0,c424
505,505,0,5,032e,0,0,c424
506,506,0,5,032e,0,0,c424
507,507,0,5,032e,0,0,c424
508,508,0,5,032e,0,0,c424
509,509,0,5,032e,0,0,c424
510,510,0,5,032e,0,0,c424
511,511,0,5,032e,0,0,c424
512,512,0,5,032e,0,0,c424
513,513,0,5,032e,0,0,c424
514,514,0,5,032e,0,0,c424
515,515,0,5,032e,0,0,c424
516,516,0,5,032e,0,0,c424
517,517,0,5,032e,0,0,c424
518,518,0,5,032e,0,0,c424
519,519,0,5,032e,0,0,c424
520,520,0,5,032e,0,0,c424
521,521,0,5,032e,0,0,c424
522,522,0,5,032e,0,0,c424
523,523,0,5,032e,0,0,c424
524,524,0,5,032e,0,0,c424
525,525,0,5,032e,0,0,c424
526,526,0,5,032e,0,0,c424
527,527,0,5,032e,0,0,c424
528,528,0,5,032e,0,0,c424
529,529,0,5,032e,0,0,c424
530,530,0,5,032e,0,0,c424
531,531,0,5,032e,0,0,c424
532,532,0,5,032e,0,0,c424
533,533,0,5,032e,0,0,c424
534,534,0,5,032e,0,0,c424
535,535,0,5,032e,0,0,c424
536,536,0,5,032e,0,0,c424
537,537,0,5,032e,0,0,c424
538,538,0,5,032e,0,0,c424
539,539,0,5,032e,0,0,c424
540,540,0,5,032e,0,0,c424
541,541,0,5,032e,0,0,c424
542,542,0,5,032e,0,0,c424
543,543,0,5,032e,0,0,c424
544,544,0,5,032e,0,0,c424
545,545,0,5,032e,0,0,c424
546,546,0,5,032e,0,0,c424
547,547,0,5,032e,0,0,c424
548,548,0,5,032e,0,0,c424
549,549,0,5,032e,0,0,c424
550,550,0,5,032e,0,0,c424
551,551,0,5,032e,0,0,c424
552,552,0,5,032e,0,0,c424
553,553,0,5,032e,0,0,c424
554,554,0,5,032e,0,0,c424
555,555,0,5,032e,0,0,c424
556,556,0,5,032e,0,0,c424
557,557,0,5,032e,0,0,c424
558,558,0,5,032e,0,0,c424
559,559,0,5,032e,0,0,c424
560,560,0,5,032e,0,0,c424
561,561,0,5,032e,0,0,c424
562,562,0,5,032e,0,0,c424
563,563,0,5,032e,0,0,c424
564,564,0,5,032e,0,0,c424
565,565,0,5,032e,0,0,c424
566,566,0,5,032e,0,0,c424
567,567,0,5,032e,0,0,c424
568,568,0,5,032e,0,0,c424
569,569,0,5,032e,0,0,c424
570,570,0,5,032e,0,0,c424
571,571,0,5,032e,0,0,c424
572,572,0,5,032e,0,0,c424
573,573,0,5,032e,0,0,c424
574,574,0,5,032e,0,0,c424
575,575,0,5,032e,0,0,c424
576,576,0,5,032e,0,0,c424
577,577,0,5,032e,0,0,c424
